AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude
VAA;VAA;FI;Airport;Vaasa;+02:00;Europe/Helsinki;63.0506;21.7622
VAN;VAN;TR;Airport;Van Ferit Melen;+03:00;Europe/Istanbul;38.4683;43.3322
VAR;VAR;BG;Airport;Varna;+02:00;Europe/Sofia;43.2319;27.825
VAS;VAS;TR;Airport;Sivas;+03:00;Europe/Istanbul;39.8139;36.9036
VCE;VCE;IT;Airport;Venice;+01:00;Europe/Rome;45.5053;12.3519
VGO;VGO;ES;Airport;Vigo;+01:00;Europe/Madrid;42.2317;-8.6267
VIE;VIE;AT;Airport;Vienna;+01:00;Europe/Vienna;48.1103;16.5781
VLC;VLC;ES;Airport;Valencia;+01:00;Europe/Madrid;39.4894;-0.4817
VNO;VNO;LT;Airport;Vilnius;+02:00;Europe/Vilnius;54.6342;25.2858
VOL;VOL;GR;Airport;Volos;+02:00;Europe/Athens;39.2197;22.7944
VOZ;VOZ;RU;Airport;Voronezh;+03:00;Europe/Moscow;51.8142;39.2297
VRN;VRN;IT;Airport;Verona;+01:00;Europe/Rome;45.3964;10.8881
WAW;WAW;PL;Airport;Warsaw;+01:00;Europe/Warsaw;52.1658;20.9672
WRO;WRO;PL;Airport;Wroclaw;+01:00;Europe/Warsaw;51.1028;16.8858
XER;SXB;FR;Bus Station;Strasbourg Bus Station;+01:00;Europe/Paris;48.5853;7.7356
XGZ;XGZ;AT;Rail Station;Bregenz Rail Station;+01:00;Europe/Vienna;47.5064;9.7486
XHJ;AAH;DE;Rail Station;Aachen Rail Station;+01:00;Europe/Berlin;50.7683;6.0911
XHQ;XHQ;TR;Bus Station;Artvin Hopa Bus Station;+03:00;Europe/Istanbul;41.3906;41.4169
XIR;DRS;DE;Rail Station;Dresden Rail Station Dresden Hbf Rail S;+01:00;Europe/Berlin;51.0658;13.7406
XIT;LEJ;DE;Rail Station;Leipzig Hbf Rail Station;+01:00;Europe/Berlin;51.3458;12.3817
XIU;ERF;DE;Rail Station;Erfurt Rail Station;+01:00;Europe/Berlin;50.9725;11.0381
XRY;XRY;ES;Airport;Jerez;+01:00;Europe/Madrid;36.7447;-6.06
ZAD;ZAD;HR;Airport;Zadar;+01:00;Europe/Zagreb;44.1083;15.3467
ZAG;ZAG;HR;Airport;Zagreb;+01:00;Europe/Zagreb;45.7431;16.0689
ZAQ;NUE;DE;Rail Station;Nuremberg Rail Station;+01:00;Europe/Berlin;49.445;11.0825
ZBA;EAP;CH;Rail Station;Basel Bad Rail Station;+01:00;Europe/Zurich;47.5678;7.6083
ZDH;EAP;CH;Rail Station;Basel/Mulhouse SBB;+01:00;Europe/Zurich;47.5478;7.5897
ZDI;ZDI;CH;Rail Station;Bellinzona Rail Station;+01:00;Europe/Zurich;46.2;9.0167
ZDJ;BRN;CH;Rail Station;Berne Rail Station;+01:00;Europe/Zurich;46.9194;7.5
ZEU;ZEU;DE;Rail Station;Goettingen Rail Station;+01:00;Europe/Berlin;51.5367;9.9269
ZHF;ZHF;CH;Rail Station;Fribourg Rail Station;+01:00;Europe/Zurich;46.8;7.15
ZHT;GVA;CH;Rail Station;Geneva Rail Station;+01:00;Europe/Zurich;46.2;6.1667
ZIN;ZIN;CH;Rail Station;Interlaken Ost Rail Station;+01:00;Europe/Zurich;46.6833;7.85
ZMB;HAM;DE;Rail Station;Hamburg Hbf Rail Station;+01:00;Europe/Berlin;53.5531;10.0067
ZMU;MUC;DE;Rail Station;Munich Hbf Rail Station;+01:00;Europe/Berlin;48.1411;11.5544
ZNS;ZNS;DE;Bus Station;Kempten;+01:00;Europe/Berlin;47.7119;10.3181
ZPE;ZPE;DE;Rail Station;Muenster/Osnabrueck Rail Station Osnabr;+01:00;Europe/Berlin;52.2728;8.0606
ZRB;FRA;DE;Rail Station;Frankfurt Hbf Rail Station;+01:00;Europe/Berlin;50.1067;8.6631
ZRH;ZRH;CH;Airport;Zurich;+01:00;Europe/Zurich;47.4647;8.5492
ZSB;SZG;AT;Rail Station;Salzburg Railway Station;+01:00;Europe/Vienna;47.8131;13.0458
ZTH;ZTH;GR;Airport;Zakinthos;+02:00;Europe/Athens;37.7508;20.8842
ZVR;HAJ;DE;Rail Station;Hannover Hbf Rail Station;+01:00;Europe/Berlin;52.3772;9.7419
ZWS;STR;DE;Rail Station;Stuttgart Rail Station;+01:00;Europe/Berlin;48.7836;9.1814
