FlightId;ArrAirportCode;ArrScheduledDate;ArrScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DpStatusDescription;StatusCode;StatusDescription
LH447;FRA;2023-05-19;11:10;2023-05-19;11:13;1;B25;LD;Flight Landed;LH;447;78S;2023-05-18;17:48;;A41;DP;Flight Departed;LD;Flight Landed
2A3533;FRA;2023-05-19;11:17;2023-05-19;11:15;TN;T04;LD;Flight Landed;2A;3533;TRN;2023-05-19;10:19;;T04;DP;Flight Departed;LD;Flight Landed
2A3717;FRA;2023-05-19;11:18;2023-05-19;11:18;TN;T04;LD;Flight Landed;2A;3717;TRN;2023-05-19;08:51;;T02;DP;Flight Departed;LD;Flight Landed
4Y2061;FRA;2023-05-19;11:20;2023-05-19;11:33;1;BSO;LD;Flight Landed;4Y;2061;32A;2023-05-19;09:11;;U33;DP;Flight Departed;LD;Flight Landed
CL065;FRA;2023-05-19;11:20;2023-05-19;11:20;1;Area A;LD;Flight Landed;CL;65;CR9;2023-05-19;10:27;;C14;DP;Flight Departed;LD;Flight Landed
2A3471;FRA;2023-05-19;11:20;2023-05-19;11:21;TN;;LD;Flight Landed;2A;3471;TRN;2023-05-19;09:55;;T06;DP;Flight Departed;LD;Flight Landed
LH1393;FRA;2023-05-19;11:25;2023-05-19;11:24;1;Area A;LD;Flight Landed;LH;1393;32A;2023-05-19;10:17;2;C02;DP;Flight Departed;LD;Flight Landed
LH053;FRA;2023-05-19;11:30;2023-05-19;11:40;1;Area A;LD;Flight Landed;LH;53;32A;2023-05-19;10:42;;A05;DP;Flight Departed;LD;Flight Landed
LH077;FRA;2023-05-19;11:30;2023-05-19;11:35;1;Area A;LD;Flight Landed;LH;77;320;2023-05-19;10:47;;A39;DP;Flight Departed;LD;Flight Landed
CL161;FRA;2023-05-19;11:30;2023-05-19;11:36;1;Area A;LD;Flight Landed;CL;161;E90;2023-05-19;10:30;;024;DP;Flight Departed;LD;Flight Landed
LH695;FRA;2023-05-19;11:30;2023-05-19;12:00;1;B27A;LD;Flight Landed;LH;695;32M;2023-05-19;08:47;3;E1A;DP;Flight Departed;LD;Flight Landed
LH1335;FRA;2023-05-19;11:30;2023-05-19;11:32;1;A30;LD;Flight Landed;LH;1335;32M;2023-05-19;09:41;2A;A04;DP;Flight Departed;LD;Flight Landed
2A3509;FRA;2023-05-19;11:33;2023-05-19;11:32;TN;;LD;Flight Landed;2A;3509;TRN;2023-05-19;10:12;;T16;DP;Flight Departed;LD;Flight Landed
LH133;FRA;2023-05-19;11:35;2023-05-19;11:35;1;Area A;LD;Flight Landed;LH;133;319;2023-05-19;10:41;2;173;DP;Flight Departed;LD;Flight Landed
CL211;FRA;2023-05-19;11:35;2023-05-19;11:48;1;Area A;LD;Flight Landed;CL;211;CR9;2023-05-19;10:39;;005;DP;Flight Departed;LD;Flight Landed
CL929;FRA;2023-05-19;11:35;2023-05-19;11:39;1;Area A;LD;Flight Landed;CL;929;E90;2023-05-19;09:16;;005;DP;Flight Departed;LD;Flight Landed
CL373;FRA;2023-05-19;11:40;2023-05-19;11:42;1;Area A;LD;Flight Landed;CL;373;CR9;2023-05-19;10:50;;A02;DP;Flight Departed;LD;Flight Landed
LH1059;FRA;2023-05-19;11:40;2023-05-19;12:16;1;Area A;LD;Flight Landed;LH;1059;32A;2023-05-19;10:45;1;A32;DP;Flight Departed;LD;Flight Landed
LH1347;FRA;2023-05-19;11:40;2023-05-19;11:30;1;A60;LD;Flight Landed;LH;1347;32A;2023-05-19;09:45;;039;DP;Flight Departed;LD;Flight Landed
LH405;FRA;2023-05-19;11:45;2023-05-19;11:45;1;Z69;LD;Flight Landed;LH;405;343;2023-05-18;21:55;1;003;DP;Flight Departed;LD;Flight Landed
LH953;FRA;2023-05-19;11:45;2023-05-19;11:41;1;Z25;LD;Flight Landed;LH;953;319;2023-05-19;09:13;;058;DP;Flight Departed;LD;Flight Landed
LH941;FRA;2023-05-19;11:50;2023-05-19;11:53;1;Area A;LD;Flight Landed;LH;941;32A;2023-05-19;09:16;1;025;DP;Flight Departed;LD;Flight Landed
LH1029;FRA;2023-05-19;11:50;2023-05-19;11:52;1;Area A;LD;Flight Landed;LH;1029;320;2023-05-19;10:37;1;061;DP;Flight Departed;LD;Flight Landed
2A3559;FRA;2023-05-19;11:51;2023-05-19;12:33;TN;;LD;Flight Landed;2A;3559;TRN;2023-05-19;10:56;;T10;DP;Flight Departed;LD;Flight Landed
EN8751;FRA;2023-05-19;11:55;2023-05-19;12:07;1;BSO;LD;Flight Landed;EN;8751;E95;2023-05-19;11:21;;;DP;Flight Departed;LD;Flight Landed
EN8871;FRA;2023-05-19;11:55;;;1;ASO;NO;No Status;EN;8871;E95;;;;;NO;No Status;CD;Flight Cancelled
LH271;FRA;2023-05-19;11:55;;;1;ASO;NO;No Status;LH;271;320;;;;;NO;No Status;CD;Flight Cancelled
LH1075;FRA;2023-05-19;11:55;2023-05-19;11:48;1;A58;LD;Flight Landed;LH;1075;319;2023-05-19;10:27;1;B10;DP;Flight Departed;LD;Flight Landed
LH1103;FRA;2023-05-19;11:55;2023-05-19;12:25;1;Area A;LD;Flight Landed;LH;1103;319;2023-05-19;11:30;;006;DP;Flight Departed;LD;Flight Landed
EN8853;FRA;2023-05-19;12:00;;;1;ASO;NO;No Status;EN;8853;E95;;;;006;NO;No Status;CD;Flight Cancelled
