AirportCode;CityCode;CountryCode;LocationType;Names;UtcOffset;TimeZoneId;Latitude;Longitude;Continent
AAL;AAL;DK;Airport;Aalborg;+01:00;Europe/Copenhagen;57.0928;9.8492;Europe
AAQ;AAQ;RU;Airport;Anapa;+03:00;Europe/Moscow;45.0022;37.3472;Europe
AAR;AAR;DK;Airport;Aarhus Tirstrup;+01:00;Europe/Copenhagen;56.3039;10.6194;Europe
ABZ;ABZ;GB;Airport;Aberdeen (GB);+00:00;Europe/London;57.2042;-2.2003;Europe
ADA;ADA;TR;Airport;Adana;+03:00;Europe/Istanbul;36.9822;35.2803;Europe
ADB;IZM;TR;Airport;Izmir;+03:00;Europe/Istanbul;38.2925;27.1569;Europe
ADF;ADF;TR;Airport;Adiyaman;+03:00;Europe/Istanbul;37.7314;38.4689;Europe
AER;AER;RU;Airport;Sochi;+03:00;Europe/Moscow;43.45;39.9567;Europe
AES;AES;NO;Airport;Aalesund;+01:00;Europe/Oslo;62.5603;6.1103;Europe
AGH;AGH;SE;Airport;Angelholm/Helsingborg Angelholm Apt;+01:00;Europe/Stockholm;56.2961;12.8472;Europe
AGP;AGP;ES;Airport;Malaga;+01:00;Europe/Madrid;36.675;-4.4992;Europe
AJI;AJI;TR;Airport;Agri;+03:00;Europe/Istanbul;39.6539;43.0264;Europe
AJR;AJR;SE;Airport;Arvidsjaur;+01:00;Europe/Stockholm;65.5903;19.2819;Europe
ALC;ALC;ES;Airport;Alicante;+01:00;Europe/Madrid;38.2822;-0.5581;Europe
ALF;ALF;NO;Airport;Alta;+01:00;Europe/Oslo;69.9761;23.3717;Europe
AMS;AMS;NL;Airport;Amsterdam;+01:00;Europe/Amsterdam;52.3081;4.7642;Europe
ANX;ANX;NO;Airport;Andenes Andoya;+01:00;Europe/Oslo;69.2925;16.1442;Europe
AOE;AOE;TR;Airport;Eskisehir Anadolu;+03:00;Europe/Istanbul;39.81;30.5169;Europe
AOI;AOI;IT;Airport;Ancona;+01:00;Europe/Rome;43.6167;13.3603;Europe
AOK;AOK;GR;Airport;Karpathos;+02:00;Europe/Athens;35.4214;27.1461;Europe
ARN;STO;SE;Airport;Stockholm;+01:00;Europe/Stockholm;59.6519;17.9186;Europe
ASR;ASR;TR;Airport;Kayseri;+03:00;Europe/Istanbul;38.7703;35.4956;Europe
ATH;ATH;GR;Airport;Athens;+02:00;Europe/Athens;37.9364;23.9444;Europe
AXD;AXD;GR;Airport;Alexandroupolis;+02:00;Europe/Athens;40.8558;25.9564;Europe
AYT;AYT;TR;Airport;Antalya;+03:00;Europe/Istanbul;36.8986;30.8006;Europe
BAL;BAL;TR;Airport;Batman;+03:00;Europe/Istanbul;37.9289;41.1167;Europe
