FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;AirlineID;FlightNumber;AircraftCode;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;StatusCode;StatusDescription
LH1164;FRA;2023-05-19;21:10;2023-05-19;21:12;1;A13;DP;Flight Departed;LH;1164;32N;2023-05-19;23:31;;;LD;Flight Landed;LD;Flight Landed
LH122;FRA;2023-05-19;21:15;2023-05-19;21:23;1;A38;DP;Flight Departed;LH;122;321;2023-05-19;22:15;2;G34;LD;Flight Landed;LD;Flight Landed
LH202;FRA;2023-05-19;21:15;2023-05-19;21:29;1;A54;DP;Flight Departed;LH;202;319;2023-05-19;22:27;1;B17;LD;Flight Landed;LD;Flight Landed
LH876;FRA;2023-05-19;21:20;2023-05-19;21:47;1;A17;DP;Flight Departed;LH;876;319;2023-05-19;23:44;;;LD;Flight Landed;LD;Flight Landed
CL1380;FRA;2023-05-19;21:20;2023-05-19;21:45;1;A02;DP;Flight Departed;CL;1380;CR9;2023-05-19;22:53;;;LD;Flight Landed;LD;Flight Landed
2A3528;FRA;2023-05-19;21:21;2023-05-19;21:43;Station;T07;DP;Flight Departed;2A;3528;TRN;2023-05-19;22:47;;;LD;Flight Landed;LD;Flight Landed
2A3564;FRA;2023-05-19;21:24;2023-05-19;21:35;Station;T05;DP;Flight Departed;2A;3564;TRN;2023-05-19;23:08;;;LD;Flight Landed;LD;Flight Landed
LH360;FRA;2023-05-19;21:25;2023-05-19;21:47;1;B11;DP;Flight Departed;LH;360;319;2023-05-19;22:33;;;LD;Flight Landed;LD;Flight Landed
LH1172;FRA;2023-05-19;21:25;2023-05-19;21:55;1;A56;DP;Flight Departed;LH;1172;321;2023-05-19;23:44;1;;LD;Flight Landed;LD;Flight Landed
LH034;FRA;2023-05-19;21:30;2023-05-19;21:29;1;A50;DP;Flight Departed;LH;34;32M;2023-05-19;22:34;2;;LD;Flight Landed;LD;Flight Landed
