FlightId;DpAirportCode;DpScheduledDate;DpScheduledTime;DpActualDate;DpActualTime;DpTerminalName;DpTerminalGate;DpStatusCode;DPStatusDescription;ArrAirportCode;ArrScheduledDate;ArrpScheduledTime;ArrActualDate;ArrActualTime;ArrTerminalName;ArrTerminalGate;ArrStatusCode;ArrStatusDescription;AirlineID;FlightNumber;AircraftCode;StatusCode;StatusDescription
LH104;FRA;2023-05-18;12:15;2023-05-18;12:29;1;A01;DP;Flight Departed;MUC;2023-05-18;13:10;2023-05-18;13:27;2;G16;LD;Flight Landed;LH;104;319;LD;Flight Landed
LH1060;FRA;2023-05-18;12:15;2023-05-18;12:33;1;A34;DP;Flight Departed;NCE;2023-05-18;13:40;2023-05-18;14:04;1;;LD;Flight Landed;LH;1060;320;LD;Flight Landed
CL1216;FRA;2023-05-18;12:15;2023-05-18;12:33;1;A23;DP;Flight Departed;GVA;2023-05-18;13:20;2023-05-18;13:43;1;;LD;Flight Landed;CL;1216;E90;LD;Flight Landed
LH1338;FRA;2023-05-18;12:15;2023-05-18;12:32;1;A36;DP;Flight Departed;BUD;2023-05-18;13:45;2023-05-18;14:04;2A;;LD;Flight Landed;LH;1338;32N;LD;Flight Landed
CL1376;FRA;2023-05-18;12:15;2023-05-18;12:37;1;A69;DP;Flight Departed;GDN;2023-05-18;13:45;2023-05-18;14:00;;;LD;Flight Landed;CL;1376;CR9;LD;Flight Landed
CL1462;FRA;2023-05-18;12:15;2023-05-18;12:29;1;A19;DP;Flight Departed;LJU;2023-05-18;13:25;2023-05-18;13:41;;;LD;Flight Landed;CL;1462;CR9;LD;Flight Landed
LH1034;FRA;2023-05-18;12:20;2023-05-18;12:42;1;A30;DP;Flight Departed;CDG;2023-05-18;13:35;2023-05-18;13:52;1;064;LD;Flight Landed;LH;1034;32A;LD;Flight Landed
2A3510;FRA;2023-05-18;12:23;2023-05-18;13:39;Station;T07;DP;Flight Departed;QDU;2023-05-18;13:36;2023-05-18;14:45;;;LD;Flight Landed;2A;3510;TRN;LD;Flight Landed
EN8826;FRA;2023-05-18;12:25;2023-05-18;12:31;1;B06;DP;Flight Departed;VRN;2023-05-18;13:35;2023-05-18;13:51;;;LD;Flight Landed;EN;8826;E95;LD;Flight Landed
EN8844;FRA;2023-05-18;12:25;2023-05-18;12:46;1;B07;DP;Flight Departed;TRN;2023-05-18;13:40;2023-05-18;14:02;;;LD;Flight Landed;EN;8844;E95;LD;Flight Landed
CL1204;FRA;2023-05-18;12:25;2023-05-18;12:53;1;A68;DP;Flight Departed;BSL;2023-05-18;13:15;2023-05-18;13:43;;;LD;Flight Landed;CL;1204;CR9;LD;Flight Landed
LH1396;FRA;2023-05-18;12:25;2023-05-18;13:08;1;A25;DP;Flight Departed;PRG;2023-05-18;13:25;2023-05-18;14:00;2;;LD;Flight Landed;LH;1396;320;LD;Flight Landed
EN8854;FRA;2023-05-18;12:30;2023-05-18;14:33;1;B02;DP;Flight Departed;FLR;2023-05-18;14:00;2023-05-18;16:04;;;LD;Flight Landed;EN;8854;E95;LD;Flight Landed
2A3468;FRA;2023-05-18;12:34;2023-05-18;12:38;Station;T04;DP;Flight Departed;QWU;2023-05-18;14:01;2023-05-18;14:01;;;LD;Flight Landed;2A;3468;TRN;LD;Flight Landed
