,AirportCode,CityCode,CountryCode,LocationType,Names,UtcOffset,TimeZoneId,Latitude,Longitude
1033,SDJ,SDJ,JP,Airport,Sendai,+09:00,Asia/Tokyo,38.1397,140.9169
1034,SDL,SDL,SE,Airport,Sundsvall,+01:00,Europe/Stockholm,62.5281,17.4439
1035,SDQ,SDQ,DO,Airport,Santo Domingo,-04:00,America/Santo_Domingo,18.4297,-69.6689
1036,SDU,RIO,BR,Airport,Rio De Janeiro Santos Dumont,-03:00,America/Sao_Paulo,-22.9106,-43.1631
1037,SEA,SEA,US,Airport,Seattle,-08:00,America/Los_Angeles,47.4489,-122.3094
1038,SEU,SEU,TZ,Airport,Seronera,+03:00,Africa/Dar_es_Salaam,-2.4572,34.8219
1039,SEZ,SEZ,SC,Airport,Mahe Island,+04:00,Indian/Mahe,-4.6744,55.5219
1040,SFN,SFN,AR,Airport,Santa Fe Sauce Viejo,-03:00,America/Argentina/Buenos_Aires,-31.7108,-60.8114
1041,SFO,SFO,US,Airport,San Francisco,-08:00,America/Los_Angeles,37.6189,-122.3917
1042,SFT,SFT,SE,Airport,Skelleftea,+01:00,Europe/Stockholm,64.6247,21.0769
1043,SGF,SGF,US,Airport,Springfield Missouri (US),-06:00,America/Chicago,37.2456,-93.3886
1044,SGN,SGN,VN,Airport,Ho Chi Minh City,+07:00,Asia/Ho_Chi_Minh,10.8189,106.6519
1045,SGU,SGU,US,Airport,St George,-07:00,America/Denver,37.0906,-113.5931
1046,SHA,SHA,CN,Airport,Shanghai/Hongqiao,+08:00,Asia/Shanghai,31.1978,121.3364
1047,SHB,SHB,JP,Airport,Nakashibetsu,+09:00,Asia/Tokyo,43.5775,144.96
1048,SHC,SHC,ET,Airport,Indaselassie,+03:00,Africa/Addis_Ababa,14.0794,38.2714
1049,SHE,SHE,CN,Airport,Shenyang,+08:00,Asia/Shanghai,41.6397,123.4833
1050,SHL,SHL,IN,Airport,Shillong Barapani,+05:30,Asia/Kolkata,25.7036,91.9775
1051,SHR,SHR,US,Airport,Sheridan,-07:00,America/Denver,44.7692,-106.9803
1052,SHV,SHV,US,Airport,Shreveport,-06:00,America/Chicago,32.4472,-93.8289
1053,SIA,SIA,CN,Airport,Xi An,+08:00,Asia/Shanghai,34.3761,109.1239
1054,SID,SID,CV,Airport,Sal,-01:00,Atlantic/Cape_Verde,16.7414,-22.9494
1055,SIN,SIN,SG,Airport,Singapore,+08:00,Asia/Singapore,1.3592,103.9894
1056,SIR,SIR,CH,Airport,Sion,+01:00,Europe/Zurich,46.2225,7.34
1057,SIS,SIS,ZA,Airport,Sishen,+02:00,Africa/Johannesburg,-27.65,23.0
1058,SIT,SIT,US,Airport,Sitka,-09:00,America/Anchorage,57.0472,-135.3617
