FlightScheduleID,DepAirportCode,DepScheduledTimeLocal,ArrAirportCode,ArrScheduledTimeLocal,Terminal,AirlineID,FlightNumber,AircraftCode,DaysOfOperation,Effective,Expiration
1514,FRA,2023-04-22T11:30,BRU,2023-04-22T12:25,,LH,1010,CR9,14567,2023-04-22,2023-04-29
1515,FRA,2023-04-22T13:00,BRU,2023-04-22T13:55,,LH,1012,319,356,2023-04-22,2023-04-28
1516,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,356,2023-04-22,2023-04-28
1517,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,123456,2023-04-22,2023-04-29
1518,FRA,2023-04-22T16:25,BRU,2023-04-22T17:20,,LH,1016,32A,123456,2023-04-22,2023-04-29
1519,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,123456,2023-04-22,2023-04-29
1520,XER,2023-04-22T16:45,FRA,2023-04-22T19:30,1,LH,3761,BUS,123456,2023-04-22,2023-04-29
1521,FRA,2023-04-22T21:30,BRU,2023-04-22T22:35,,LH,5590,319,123456,2023-04-22,2023-04-29
1522,MUC,2023-04-22T14:30,BRU,2023-04-22T15:50,,LH,2288,CR9,6,2023-04-22,2023-04-22
1523,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,267,2023-04-22,2023-04-29
1524,FRA,2023-04-22T10:15,MUC,2023-04-22T11:10,2,LH,100,321,267,2023-04-22,2023-04-29
1525,MUC,2023-04-22T14:30,BRU,2023-04-22T15:50,,LH,2288,CR9,267,2023-04-22,2023-04-29
1526,MUC,2023-04-22T14:30,BRU,2023-04-22T15:50,,LH,2288,CR9,6,2023-04-22,2023-04-29
1527,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,346,2023-04-22,2023-04-29
1528,FRA,2023-04-22T12:30,BSL,2023-04-22T13:15,,LH,1204,CR9,346,2023-04-22,2023-04-29
1529,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,12456,2023-04-22,2023-04-29
1530,FRA,2023-04-22T08:55,BUD,2023-04-22T10:25,2A,LH,1336,321,12456,2023-04-22,2023-04-29
1531,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,16,2023-04-22,2023-04-24
1532,FRA,2023-04-22T12:15,BUD,2023-04-22T13:45,2A,LH,1338,321,16,2023-04-22,2023-04-24
1533,FRA,2023-04-22T16:30,BUD,2023-04-22T18:00,2A,LH,1340,32N,267,2023-04-22,2023-04-29
1534,XER,2023-04-22T04:30,FRA,2023-04-22T07:15,1,LH,3753,BUS,236,2023-04-22,2023-04-29
1535,FRA,2023-04-22T22:15,BUD,2023-04-22T23:45,2A,LH,1342,321,236,2023-04-22,2023-04-29
1536,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,16,2023-04-22,2023-04-24
1537,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,267,2023-04-22,2023-04-29
1538,XER,2023-04-22T08:00,FRA,2023-04-22T10:45,1,LH,3755,BUS,236,2023-04-22,2023-04-29
1539,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,267,2023-04-22,2023-04-29
1540,XER,2023-04-22T11:30,FRA,2023-04-22T14:15,1,LH,3757,BUS,236,2023-04-22,2023-04-29
